PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:14:10 2021,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Mar 12 23:14:10 2021,,Fall Time,Fri Mar 12 23:14:10 2021,1615608850.3893464,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
