PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:14:38 2021,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Mar 12 23:14:40 2021,,Fall Time,NULL,-1609477199.4251099,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608878.4364986,0.64154052734375,0.02294921875,0.0162353515625,0.7666015625,0.29,0.29,-0.31,0.046930613577972256,-0.01237817456426361
1615608878.4895775,0.6412353515625,0.0323486328125,0.0262451171875,0.7662353515625,-0.04,0.51,0.13,0.07056976026823279,-0.013697905347684535
1615608878.4905682,0.6412353515625,0.0347900390625,0.02716064453125,0.76605224609375,0.25,0.64,0.13,0.0744805162099223,-0.01589048821585672
1615608878.5437086,0.64117431640625,0.0377197265625,0.0277099609375,0.7659912109375,0.24,0.27,-0.09,0.07845187393386885,-0.019137344045044465
1615608878.5931485,0.6402587890625,0.03826904296875,0.02728271484375,0.7667236328125,-0.06,0.19,0.11,0.0784716563549476,-0.020423405074156315
1615608878.6341367,0.63958740234375,0.03857421875,0.02203369140625,0.7674560546875,0.0,-0.18,0.02,0.07185357728224595,-0.02669845633852049
1615608878.6831453,0.6380615234375,0.040283203125,0.01690673828125,0.76873779296875,0.04,-0.14,0.04,0.06689667354943776,-0.03474935825433197
1615608878.791144,0.63818359375,0.04290771484375,0.01129150390625,0.76861572265625,0.21,-0.01,-0.12,0.06236844139199485,-0.04439941007161486
1615608878.8331356,0.63848876953125,0.0430908203125,0.00970458984375,0.76837158203125,-0.31,0.45,0.39,0.06048697063114227,-0.04637048050630509
1615608878.8791435,0.638671875,0.04034423828125,0.00738525390625,0.76837158203125,0.53,0.37,0.04,0.05438028392323029,-0.04530490095318014
1615608878.9281447,0.63885498046875,0.03594970703125,0.00537109375,0.76849365234375,-0.1,0.35000000000000003,0.23,0.04685181755330683,-0.04172908796034457
1615608879.0101495,0.639404296875,0.02825927734375,-0.00030517578125,0.768310546875,0.3,0.03,-0.07,0.030833365523151,-0.037813419355783424
1615608879.0651379,0.6368408203125,0.01739501953125,-0.00146484375,0.77081298828125,-0.36,-0.09,-0.08,0.017190405987722153,-0.02476499511025024
1615608879.1181445,0.63580322265625,0.0135498046875,-0.00177001953125,0.771728515625,-0.19,-0.09,0.07,0.012523801599755744,-0.020002446974756095
1615608879.1611457,0.63531494140625,0.01239013671875,-0.00189208984375,0.77215576171875,-0.15,0.01,0.15,0.011074963945442315,-0.018598875869792055
1615608879.2071395,0.634765625,0.01171875,-0.00067138671875,0.77264404296875,0.0,0.08,0.19,0.011954141195423453,-0.01637319557684992
1615608879.2491367,0.6331787109375,0.01220703125,0.0010986328125,0.77392578125,0.11,0.1,-0.03,0.01482066095699629,-0.015113608217585919
1615608879.2971356,0.6324462890625,0.01239013671875,0.0023193359375,0.7745361328125,0.0,0.16,0.04,0.01663934052060643,-0.014039000073644742
1615608879.3441358,0.6322021484375,0.0126953125,0.002685546875,0.77471923828125,-0.02,-0.04,0.1,0.01745821460706501,-0.014052104800234019
1615608879.3931487,0.63153076171875,0.01336669921875,0.00238037109375,0.77520751953125,0.08,-0.01,-0.08,0.017769956420905373,-0.015297373961158912
1615608879.454136,0.63165283203125,0.01519775390625,0.00396728515625,0.77508544921875,-0.11,0.29,0.1,0.021895328771920162,-0.016012114178518985
1615608879.494136,0.63189697265625,0.01617431640625,0.004150390625,0.77490234375,0.18,0.12,-0.2,0.023212169595230623,-0.017111790375535518
1615608879.5431497,0.631591796875,0.01617431640625,0.0048828125,0.77508544921875,-0.06,0.27,-0.05,0.02418522556448073,-0.016319890683636172
1615608879.5903456,0.63201904296875,0.0142822265625,0.003173828125,0.77484130859375,0.3,0.59,-0.06,0.019841475930672665,-0.015645117809891935
1615608879.637342,0.6334228515625,0.00067138671875,-0.00482177734375,0.7738037109375,0.55,1.09,-0.28,-0.005709946413484643,-0.0061723929056750945
1615608879.6873422,0.6373291015625,-0.0262451171875,-0.0206298828125,0.7698974609375,0.35000000000000003,0.54,-0.21,-0.05632862209656411,0.012164573051882942
1615608879.7333412,0.63824462890625,-0.0657958984375,-0.0352783203125,0.7662353515625,-0.62,-0.11,0.0,-0.11940575780170812,0.04772391862105847
1615608879.779342,0.637451171875,-0.09539794921875,-0.04815673828125,0.76300048828125,-0.6900000000000001,-0.85,0.2,-0.16909632315384027,0.07129179020670669
1615608879.8463426,0.6341552734375,-0.1102294921875,-0.05487060546875,0.76336669921875,-0.49,-1.02,0.32,-0.19402782660315737,0.08305608646900105
1615608879.928334,0.6312255859375,-0.11236572265625,-0.0537109375,0.76556396484375,-0.34,-0.27,0.6,-0.19458659025241104,0.08770530640412795
1615608879.928334,0.630859375,-0.11285400390625,-0.052978515625,0.76580810546875,-0.35000000000000003,-0.22,0.67,-0.19413534044981368,0.08920212453269363
1615608879.9753344,0.6298828125,-0.114013671875,-0.05126953125,0.76654052734375,-0.45,-0.61,0.92,-0.19309338320077457,0.09276232056142057
1615608879.9753344,0.6300048828125,-0.113525390625,-0.05029296875,0.7666015625,-1.27,-0.91,1.33,-0.1912977260023425,0.09321463493531981
1615608880.0313635,0.6298828125,-0.1029052734375,-0.0487060546875,0.768310546875,-1.61,-0.87,1.07,-0.17741961984790636,0.08178586048013813
1615608880.087477,0.63116455078125,-0.07073974609375,-0.041015625,0.77130126953125,16.740000000000002,27.900000000000002,-22.32,-0.13197366504495658,0.04894368701165213
1615608880.1904864,0.57489013671875,-0.26837158203125,-0.05609130859375,0.77093505859375,-35.86,-35.47,14.11,-0.3641000945894711,0.2735339249607999
