PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:06:17 2021,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Mar 12 23:06:19 2021,,Fall Time,Fri Mar 12 23:05:55 2021,-1609477199.2687988,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608377.6921468,0.687255859375,0.0235595703125,-0.0003662109375,0.72601318359375,-0.02,0.1,-0.12,0.027523045395849398,-0.029962246907237863
1615608377.7371488,0.68695068359375,0.02398681640625,-0.00054931640625,0.726318359375,-0.2,0.09,-0.02,0.02778867994800941,-0.03072700986917852
1615608377.7831378,0.6865234375,0.023681640625,-0.00128173828125,0.7266845703125,-0.16,0.03,0.08,0.026489220332132267,-0.031228433815668557
1615608377.873455,0.6864013671875,0.022705078125,-0.00250244140625,0.72686767578125,-0.11,-0.11,-0.02,0.02379200997017555,-0.031459594569892446
1615608377.9214518,0.68646240234375,0.02105712890625,-0.00274658203125,0.726806640625,-0.14,-0.09,0.02,0.021531226909477157,-0.02968092291534341
1615608377.9684436,0.68646240234375,0.020263671875,-0.0035400390625,0.72686767578125,0.07,-0.14,-0.3,0.0195928517962973,-0.029629371375295206
1615608378.0178146,0.686767578125,0.0185546875,-0.0020751953125,0.72662353515625,-0.18,0.0,0.01,0.01941335911402991,-0.02574145062346514
1615608378.0641735,0.6875,0.01641845703125,-0.00103759765625,0.72601318359375,0.0,-0.19,-0.02,0.01820065710295087,-0.021815340647477675
1615608378.1081665,0.6890869140625,0.0135498046875,0.00140380859375,0.72454833984375,-0.27,-0.05,0.04,0.017886307186802168,-0.015282574560379264
1615608378.1581933,0.6900634765625,0.0120849609375,0.0030517578125,0.7236328125,-0.2,0.06,0.02,0.018219532746025262,-0.011464533739496425
1615608378.1991665,0.69024658203125,0.01068115234375,0.004638671875,0.72344970703125,-0.02,-0.02,0.04,0.018530844356388545,-0.007814498429301354
1615608378.2471662,0.6907958984375,0.008544921875,0.00726318359375,0.72296142578125,-0.34,0.13,0.1,0.01926475107280057,-0.002003507447808022
1615608378.3001738,0.6904296875,0.0074462890625,0.0079345703125,0.72332763671875,0.0,-0.08,0.02,0.018792546054976992,0.00015913338255955605
1615608378.3431795,0.691162109375,0.00555419921875,0.00830078125,0.72265625,-0.08,-0.08,0.02,0.016991242943673445,0.002976073462931365
1615608378.387183,0.69134521484375,0.0047607421875,0.00885009765625,0.72247314453125,-0.05,-0.02,-0.05,0.016728522723780736,0.004626204952728006
1615608378.4621665,0.69091796875,0.00335693359375,0.0101318359375,0.72283935546875,-0.03,0.06,-0.06,0.016656059895846155,0.007898242699727389
1615608378.5151665,0.690673828125,-0.00311279296875,0.0128173828125,0.7230224609375,0.0,0.06,0.05,0.012295996096752066,0.019175448432231266
1615608378.5591667,0.69024658203125,-0.01025390625,0.01544189453125,0.72332763671875,-0.09,-0.16,0.2,0.007071971624921389,0.03121898401626018
1615608378.6051755,0.69110107421875,-0.01708984375,0.02099609375,0.7222900390625,-0.34,0.12,0.0,0.005802154262639962,0.046381267380837206
1615608378.6521664,0.6900634765625,-0.01983642578125,0.02301025390625,0.72308349609375,-0.24,0.03,0.05,0.005104435890598288,0.05219801817095143
1615608378.7001674,0.6898193359375,-0.02264404296875,0.02215576171875,0.7232666015625,-0.13,-0.27,0.23,0.0006995742558216187,0.05468472314432133
1615608378.7461662,0.689697265625,-0.02276611328125,0.02215576171875,0.723388671875,-0.17,0.0,0.14,0.0005633380450543996,0.054837350401906224
1615608378.7932403,0.68988037109375,-0.022216796875,0.021728515625,0.7232666015625,-0.23,0.06,0.12,0.0006724448181637603,0.053644251231076634
1615608378.8382406,0.68896484375,-0.02020263671875,0.019775390625,0.7242431640625,-0.23,0.0,0.09,0.0006976637121843855,0.04880368282509291
1615608378.9022505,0.6876220703125,-0.01654052734375,0.01556396484375,0.72576904296875,-0.13,0.1,-0.05,-0.00013449281429790656,0.03921877249090582
1615608378.9652398,0.6865234375,-0.01361083984375,0.00689697265625,0.72698974609375,0.06,-0.16,0.1,-0.0074821524193587246,0.025267584941505467
1615608379.0132394,0.68634033203125,-0.0101318359375,-0.00152587890625,0.72723388671875,0.13,-0.14,-0.05,-0.013928388775238323,0.010916031139879465
1615608379.06124,0.68682861328125,-0.00823974609375,-0.00457763671875,0.72674560546875,-0.51,-0.13,0.3,-0.015520878393475528,0.00491158177888882
1615608379.1082497,0.68426513671875,0.004638671875,-0.01361083984375,0.7291259765625,0.04,-0.16,-0.01,-0.011662162383873785,-0.02192567865802117
1615608379.16225,0.683837890625,0.0096435546875,-0.01458740234375,0.72943115234375,-0.02,0.35000000000000003,-0.07,-0.006992035532344237,-0.029378022657547024
1615608379.2112527,0.6826171875,0.01220703125,-0.01580810546875,0.73046875,0.02,0.04,-0.08,-0.005556530694988274,-0.03403825245708958
1615608379.2562406,0.68206787109375,0.0118408203125,-0.015625,0.73101806640625,-0.05,-0.06,0.0,-0.005783336547907666,-0.03335670365454761
1615608379.3022482,0.6815185546875,0.0115966796875,-0.01434326171875,0.7315673828125,-0.07,0.11,0.17,-0.004475899759128931,-0.031536205746475025
1615608379.3482397,0.680419921875,0.0111083984375,-0.0135498046875,0.73260498046875,0.04,-0.1,-0.02,-0.0040929281631676825,-0.029979532859888004
1615608379.3962986,0.6806640625,0.00946044921875,-0.01220703125,0.732421875,-0.15,-0.03,0.0,-0.004322236726171146,-0.0263184250993371
1615608379.4382396,0.6802978515625,0.008056640625,-0.01031494140625,0.7327880859375,0.03,-0.1,-0.16,-0.0035898638888361,-0.022316868089184507
1615608379.4832397,0.68084716796875,0.0057373046875,-0.0084228515625,0.73236083984375,-0.16,-0.04,0.1,-0.0039082549922722755,-0.017161937804746275
1615608379.57324,0.68121337890625,0.00439453125,-0.00762939453125,0.7320556640625,-0.27,0.09,0.28,-0.004476688148505936,-0.01453285460090363
1615608379.6202524,0.68145751953125,0.00421142578125,-0.00738525390625,0.7318115234375,-0.15,0.06,0.0,-0.004378488929849032,-0.014015438258266715
1615608379.6652405,0.6812744140625,0.0040283203125,-0.0069580078125,0.73199462890625,-0.07,0.12,-0.07,-0.004057353921403369,-0.013280233765163999
