PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:04:30 2021,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Mar 12 23:04:53 2021,,Fall Time,Fri Mar 12 23:04:53 2021,NULL,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608271.1096547,0.9879150390625,-0.0772705078125,0.001708984375,0.13433837890625,-0.04,0.11,-0.43,-0.13148955153726039,0.020601911095823204
1615608271.1326556,0.99346923828125,-0.0625,-0.05670166015625,0.07666015625,1.23,0.55,-0.06,-0.1153664582081189,-0.08822147012900865
1615608271.1630347,0.994384765625,-0.05035400390625,-0.063720703125,0.06817626953125,-0.5,0.61,-0.11,-0.09466816918972966,-0.10288649077673749
1615608271.2215865,0.99462890625,-0.04998779296875,-0.0631103515625,0.06475830078125,0.08,-0.17,-0.64,-0.09359933766357215,-0.10222102668147048
1615608271.2655785,0.9951171875,-0.0487060546875,-0.0604248046875,0.06103515625,0.65,-0.11,-0.38,-0.09067806244124739,-0.09817510208795147
1615608271.3097193,0.9957275390625,-0.0465087890625,-0.04608154296875,0.06475830078125,-0.51,0.01,-0.47000000000000003,-0.08545514865694456,-0.0736859495539555
1615608271.3580499,0.99627685546875,-0.0421142578125,-0.03338623046875,0.06781005859375,-0.55,0.8200000000000001,0.49,-0.07652021729157506,-0.05231058673231279
1615608271.4010425,0.99615478515625,-0.04180908203125,-0.0279541015625,0.07196044921875,-0.38,0.26,-0.1,-0.07550204663578235,-0.04273563938008267
1615608271.4460418,0.99603271484375,-0.0426025390625,-0.02606201171875,0.07330322265625,0.02,0.11,0.03,-0.07667032334371533,-0.03928579086330015
1615608271.493052,0.99560546875,-0.04437255859375,-0.0213623046875,0.07952880859375,0.1,-0.11,-0.9500000000000001,-0.07928719432873675,-0.030510080219831877
1615608271.5980523,0.99627685546875,-0.0396728515625,-0.00921630859375,0.0762939453125,-0.15,0.46,0.34,-0.06948706057838862,-0.010596710321339473
1615608271.6470413,0.99554443359375,-0.0389404296875,0.03204345703125,0.07989501953125,-0.7000000000000001,0.08,-0.25,-0.06268982370383439,0.06031246105255301
1615608271.6900418,0.99591064453125,-0.0343017578125,0.0390625,0.0740966796875,-0.25,-0.17,-0.13,-0.05419057973322823,0.07144119104711011
1615608271.737042,0.99615478515625,-0.02777099609375,0.04864501953125,0.067138671875,-0.34,-0.2,-0.33,-0.04235542199085477,0.08681173633360208
1615608271.7850425,0.99615478515625,-0.01678466796875,0.05364990234375,0.0675048828125,-0.25,0.07,0.04,-0.022759536195626033,0.09423136476215647
1615608271.8762395,0.9962158203125,-0.00537109375,0.05706787109375,0.0654296875,-0.5,0.05,-0.06,-0.002811034696139976,0.09880036760173183
1615608271.8762395,0.99627685546875,-0.00048828125,0.0570068359375,0.06494140625,-0.39,0.37,0.06,0.005590233007655877,0.09814760901274208
1615608271.9182415,0.99652099609375,0.0089111328125,0.05615234375,0.061279296875,-0.03,0.36,0.21,0.021412744973403192,0.09567561877290684
1615608271.9642317,0.99664306640625,0.0142822265625,0.05572509765625,0.05853271484375,-0.63,0.14,-0.1,0.030401386044703646,0.0944221360571277
1615608272.0112677,0.99688720703125,0.01519775390625,0.05279541015625,0.05609130859375,-0.48,0.16,-0.06,0.031451605383189224,0.08937201695658671
1615608272.057446,0.9976806640625,0.015625,0.0482177734375,0.04498291015625,0.11,0.06,0.07,0.03080972232829084,0.08182187661045748
1615608272.1024427,0.9981689453125,0.01190185546875,0.045654296875,0.03741455078125,-0.33,0.03,-0.38,0.023565537867057288,0.07791099044923148
1615608272.156441,0.9986572265625,0.00994873046875,0.04278564453125,0.02740478515625,0.09,-0.14,-0.41000000000000003,0.019254968100218546,0.07331045807465668
1615608272.2104318,0.9989013671875,0.01141357421875,0.0413818359375,0.0198974609375,-0.4,0.45,0.01,0.021185598856906674,0.07098204454860407
1615608272.260431,0.99896240234375,0.0106201171875,0.0418701171875,0.01275634765625,-0.21,0.25,-0.27,0.019313670147182764,0.07199049748615237
1615608272.321431,0.9991455078125,0.00927734375,0.0400390625,0.00213623046875,0.15,0.27,0.03,0.016209665858409116,0.06904947044550865
1615608272.3624315,0.99908447265625,0.00531005859375,0.0418701171875,0.000732421875,-0.96,0.39,-0.36,0.00924845764197418,0.07224046526186721
1615608272.4094474,0.99932861328125,-0.000244140625,0.0364990234375,-0.00396728515625,-0.96,0.13,-0.26,-0.0006732874573001457,0.06299663303199357
