PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:14:43 2021,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Mar 12 23:14:44 2021,,Fall Time,Fri Mar 12 23:14:44 2021,-1609477199.354004,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608883.8512337,0.6431884765625,-0.0146484375,0.09759521484375,0.75933837890625,-0.1,-0.1,-0.09,0.11296543050817372,0.12653432376812648
1615608883.8942459,0.64337158203125,-0.01446533203125,0.097900390625,0.75909423828125,-0.05,0.07,-0.08,0.11353208782284956,0.1266457300906659
1615608883.9392343,0.6427001953125,-0.01483154296875,0.09979248046875,0.75946044921875,-0.06,0.05,0.06,0.11576064589051796,0.12905573309731336
1615608884.0292454,0.64215087890625,-0.01605224609375,0.101318359375,0.75970458984375,0.13,-0.28,0.0,0.1165407977412735,0.13221616356233035
1615608884.0782454,0.64080810546875,-0.02349853515625,0.11114501953125,0.75927734375,-0.39,0.03,0.31,0.1216951674398319,0.15229624360863403
1615608884.1192346,0.64019775390625,-0.0279541015625,0.116455078125,0.75885009765625,0.05,0.1,-0.2,0.12402080187045336,0.16369359074761497
1615608884.1642356,0.6385498046875,-0.03155517578125,0.12158203125,0.75927734375,0.15,0.15,-0.08,0.12729774551211065,0.1735574001930795
1615608884.2162435,0.63690185546875,-0.0401611328125,0.12603759765625,0.759521484375,-0.15,-0.01,-0.05,0.12424915646626447,0.18934174862037587
1615608884.2602346,0.63671875,-0.055908203125,0.12969970703125,0.758056640625,0.15,-0.16,0.02,0.11188311299178219,0.21401693175946881
1615608884.3122444,0.6378173828125,-0.072998046875,0.13397216796875,0.7548828125,-0.24,-0.16,0.1,0.09822047102199294,0.24118891821653543
1615608884.367246,0.63775634765625,-0.08660888671875,0.13531494140625,0.7532958984375,-0.46,-0.26,0.29,0.08463496734197606,0.26047812075898863
1615608884.4132435,0.638671875,-0.09295654296875,0.1343994140625,0.751953125,-0.27,-0.76,0.5,0.07578162113309328,0.26794783802594796
1615608884.4672437,0.6429443359375,-0.096435546875,0.132568359375,0.7481689453125,-0.74,-0.81,1.09,0.06765733881634282,0.27099642597695767
1615608884.5232954,0.64837646484375,-0.0975341796875,0.13018798828125,0.7437744140625,-1.27,0.73,-0.27,0.06110747447572924,0.27040995790842504
1615608884.5873194,0.64599609375,-0.08465576171875,0.134033203125,0.7467041015625,30.75,37.6,-31.1,0.08218198460918255,0.2575545767718592
