PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:15:13 2021,,Fall Event Recorded?,True,,False Positive?,True,,
Time End,Fri Mar 12 23:15:15 2021,,Fall Time,Fri Mar 12 23:15:15 2021,-1609477199.3848267,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608913.849614,0.63214111328125,-0.00628662109375,0.0205078125,0.7745361328125,-0.42,0.17,0.14,0.020583915317038525,0.030792260567852548
1615608913.8996027,0.632080078125,-0.0045166015625,0.01519775390625,0.7747802734375,0.18,-0.01,-0.27,0.015411919253630743,0.022632171786036184
1615608913.9427722,0.63275146484375,-0.00323486328125,0.011962890625,0.7742919921875,-0.05,-0.31,-0.2,0.01246575137989993,0.017398330431679505
1615608913.9887786,0.6328125,-0.0003662109375,0.0098876953125,0.77423095703125,-0.41000000000000003,0.22,0.24,0.012823074117095379,0.011295576853481582
1615608914.0457623,0.63360595703125,0.00201416015625,0.00616455078125,0.773681640625,-0.12,0.03,0.08,0.010441970352130224,0.004054409447181453
1615608914.0917625,0.6353759765625,0.003173828125,0.00396728515625,0.77215576171875,-0.48,-0.12,0.14,0.008774001437938312,0.00012094524115077447
1615608914.1397705,0.635986328125,0.00982666015625,-6.103515625e-05,0.7716064453125,-0.11,-0.02,-0.11,0.01071416959557366,-0.013162108943129223
1615608914.183762,0.63629150390625,0.0198974609375,-0.00421142578125,0.77117919921875,-0.02,0.26,-0.23,0.016268279242398844,-0.031125649329828715
1615608914.231762,0.63958740234375,0.0240478515625,-0.00714111328125,0.768310546875,-0.31,0.23,0.06,0.017107159193592406,-0.0397927760215514
1615608914.2787616,0.641845703125,0.02703857421875,-0.01129150390625,0.76629638671875,0.2,0.11,-0.08,0.015053469487308568,-0.04829684817041846
1615608914.3687925,0.6429443359375,0.02789306640625,-0.0145263671875,0.7652587890625,0.44,0.25,-0.49,0.011796919817597588,-0.05299390023531627
1615608914.4291441,0.6417236328125,0.01434326171875,-0.00933837890625,0.7667236328125,0.34,0.34,-0.03,0.0035331958612684813,-0.02934462545245226
1615608914.478144,0.64215087890625,-0.00042724609375,-0.00250244140625,0.7666015625,-0.35000000000000003,-0.06,0.08,-0.00378727116846744,-0.0022097722803904292
1615608914.5222325,0.6419677734375,-0.00244140625,-0.00152587890625,0.7667236328125,-0.3,0.0,0.29,-0.004727719103607285,0.0015411785781915281
1615608914.5712218,0.64227294921875,-0.00469970703125,0.0013427734375,0.76641845703125,-0.17,0.06,0.26,-0.0034361487372715598,0.007710740855571329
1615608914.6172292,0.6427001953125,-0.00439453125,0.00238037109375,0.76611328125,0.01,0.15,0.02,-0.0017285348051596513,0.008457283006371009
1615608914.7042706,0.64306640625,-0.00445556640625,0.003662109375,0.76580810546875,-0.14,0.1,0.0,-0.00010493712198696177,0.009960841740315985
1615608914.7502718,0.6429443359375,-0.0030517578125,0.0045166015625,0.765869140625,0.01,0.01,-0.02,0.0025857679884681048,0.009052442587061156
1615608914.7962797,0.6429443359375,-0.0009765625,0.005126953125,0.765869140625,-0.07,-0.05,0.01,0.005697658898025191,0.006985050335640893
1615608914.8412719,0.64276123046875,0.00042724609375,0.0054931640625,0.76605224609375,-0.1,0.09,0.05,0.0077425659689780366,0.005532822247723534
1615608914.8862715,0.642822265625,0.0025634765625,0.005859375,0.7659912109375,-0.1,0.1,0.02,0.010598244866063627,0.0031137739961841875
1615608914.8862715,0.64312744140625,0.00341796875,0.00543212890625,0.7657470703125,0.0,-0.04,-0.18,0.010981173690347039,0.0015133282961302052
1615608914.932271,0.64288330078125,0.005126953125,0.00543212890625,0.76593017578125,0.0,0.06,-0.03,0.012879060220724794,-0.0007506611771741638
1615608914.9806314,0.64288330078125,0.00494384765625,0.00537109375,0.76593017578125,-0.18,-0.01,0.11,0.01259499782589502,-0.000576224466596924
1615608915.0257635,0.6435546875,0.00439453125,0.00439453125,0.765380859375,-0.15,0.08,0.01,0.010694078516747614,-0.0009246114995067747
1615608915.0717638,0.64385986328125,0.00347900390625,0.00360107421875,0.76513671875,-0.16,0.25,0.1,0.008627829546964533,-0.0005929595409428688
1615608915.120774,0.64495849609375,0.000732421875,-0.00030517578125,0.76422119140625,0.06,0.2,0.0,0.00041307443531825235,-0.0013067172731059421
1615608915.1677709,0.64617919921875,-0.00604248046875,-0.0067138671875,0.76312255859375,0.0,0.06,-0.08,-0.015593098829907894,0.00047108577589964894
1615608915.2107735,0.6466064453125,-0.014892578125,-0.01025390625,0.76263427734375,0.29,0.15,0.0,-0.030140104598408553,0.008160042711097906
1615608915.2567637,0.6444091796875,-0.03369140625,-0.0064697265625,0.763916015625,0.32,-0.01,0.12,-0.04607826760682724,0.03719934970775059
1615608915.307773,0.64105224609375,-0.06427001953125,0.0108642578125,0.76470947265625,0.47000000000000003,0.23,-0.23,-0.057172589108390286,0.09670408161345828
1615608915.3997953,0.6356201171875,-0.09832763671875,0.03533935546875,0.764892578125,-1.8800000000000001,-0.93,0.52,-0.0624636576542716,0.16825680507668705
1615608915.4586601,0.630126953125,-0.12860107421875,0.061767578125,0.76324462890625,-0.96,-0.06,0.04,-0.06086880065316785,0.23616618506413523
1615608915.4586601,0.62799072265625,-0.1390380859375,0.07196044921875,0.76226806640625,-1.03,-0.29,0.17,-0.05882037955507956,0.26050073439049676
1615608915.5016522,0.62939453125,-0.13427734375,0.0723876953125,0.761962890625,-0.65,-0.91,0.4,-0.05307898284174887,0.25492454309278173
1615608915.547652,0.627685546875,-0.11285400390625,0.07623291015625,0.7664794921875,0.42,0.5700000000000001,-0.28,-0.022245309062180304,0.2319716140611771
1615608915.6222792,0.61517333984375,-0.08404541015625,0.09100341796875,0.778564453125,20.66,20.91,-9.67,0.03409550030038398,0.20954749062819789
