PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Mar 12 23:14:29 2021,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Mar 12 23:14:32 2021,,Fall Time,NULL,NULL,,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1,Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1615608869.6182406,0.67633056640625,0.0294189453125,-0.025390625,0.735595703125,-0.08,0.08,0.16,0.002113021148932018,-0.06703695688922062
1615608869.666437,0.676513671875,0.03009033203125,-0.02288818359375,0.73541259765625,-0.22,0.24,0.08,0.006104360347899978,-0.0649630353492563
1615608869.7124074,0.676513671875,0.03076171875,-0.02313232421875,0.73541259765625,0.11,0.02,-0.09,0.006580754621795095,-0.06610080148707885
1615608869.805407,0.6761474609375,0.03045654296875,-0.02252197265625,0.73583984375,-0.29,0.01,-0.07,0.006963999075999143,-0.0650080289706573
1615608869.805407,0.67633056640625,0.02972412109375,-0.0223388671875,0.73565673828125,-0.01,0.13,-0.09,0.006355477194291465,-0.06386138138546807
1615608869.8971145,0.67718505859375,0.02630615234375,-0.02081298828125,0.73504638671875,-0.37,0.02,-0.01,0.00435469400936444,-0.05773997834037657
1615608869.9471245,0.6773681640625,0.0252685546875,-0.0177001953125,0.7349853515625,-0.2,0.12,0.01,0.007106380012844688,-0.05278376202303064
1615608869.9921234,0.67694091796875,0.02349853515625,-0.01507568359375,0.73553466796875,-0.41000000000000003,-0.06,0.17,0.008334939964710434,-0.04747701792857965
1615608870.0361142,0.67681884765625,0.021728515625,-0.01312255859375,0.7357177734375,0.03,0.09,0.04,0.008736163193747166,-0.042948891760951236
1615608870.0891242,0.67596435546875,0.019775390625,-0.0111083984375,0.736572265625,-0.35000000000000003,-0.06,0.01,0.00896476219376938,-0.03812540772559845
1615608870.1471221,0.67529296875,0.021240234375,-0.01068115234375,0.7371826171875,0.1,-0.14,-0.2,0.011185609337950158,-0.03949890852543785
1615608870.2021146,0.6748046875,0.02239990234375,-0.0076904296875,0.73760986328125,-0.27,0.17,0.12,0.016325267477624323,-0.03749386315185001
1615608870.2551239,0.67401123046875,0.02142333984375,-0.00543212890625,0.7384033203125,-0.11,0.14,-0.1,0.018025605876674275,-0.03363893703284347
1615608870.3201144,0.6729736328125,0.01885986328125,-0.00244140625,0.73944091796875,-0.25,0.14,-0.05,0.01881288649682688,-0.02691831340395111
1615608870.3731241,0.67181396484375,0.013916015625,0.00115966796875,0.7406005859375,-0.44,-0.06,0.01,0.0176340259997932,-0.016451704097368194
1615608870.435114,0.67144775390625,0.01202392578125,0.00274658203125,0.740966796875,-0.08,-0.05,0.03,0.01746112663104022,-0.012200331548023495
1615608870.4811258,0.67041015625,0.01123046875,0.00482177734375,0.74188232421875,-0.12,0.02,0.19,0.019183505415237147,-0.008804958202213387
1615608870.526127,0.6700439453125,0.01104736328125,0.00537109375,0.7421875,0.12,-0.01,-0.09,0.01967103916016995,-0.00794359760065213
1615608870.5841267,0.66998291015625,0.01055908203125,0.00616455078125,0.74224853515625,-0.03,-0.05,0.04,0.020122342736121172,-0.006401496545527989
1615608870.6321266,0.67041015625,0.00982666015625,0.00592041015625,0.741943359375,0.03,-0.02,-0.08,0.018965801690896535,-0.005735852759740383
1615608870.6782384,0.67071533203125,0.00909423828125,0.00665283203125,0.74163818359375,-0.15,0.09,0.0,0.019057360254357267,-0.00394130688373193
1615608870.7261224,0.6708984375,0.00738525390625,0.00775146484375,0.74151611328125,-0.11,-0.08,-0.05,0.018485382737526108,-0.00047631668209151246
1615608870.771116,0.67138671875,0.00579833984375,0.00750732421875,0.74102783203125,-0.04,0.23,0.06,0.016332412664389367,0.0012840835671619076
1615608870.8627176,0.67205810546875,0.00152587890625,0.00872802734375,0.740478515625,-0.39,-0.08,0.29,0.012934442654226542,0.008178801511320923
1615608870.9157057,0.67230224609375,-0.00323486328125,0.00750732421875,0.740234375,-0.04,0.06,0.02,0.005842639884688926,0.012852998359692891
1615608870.9767053,0.6729736328125,-0.010498046875,0.007080078125,0.73956298828125,0.06,-0.38,-0.11,-0.0031595771960232456,0.02163921974410683
1615608871.0377066,0.672607421875,-0.02191162109375,0.01251220703125,0.73956298828125,-0.22,0.08,-0.15,-0.009484011470458261,0.04252221573175756
1615608871.093708,0.6712646484375,-0.03125,0.01690673828125,0.7403564453125,0.2,0.06,0.1,-0.014646896878298411,0.059553546348600044
1615608871.1387355,0.67193603515625,-0.0474853515625,0.02703857421875,0.73858642578125,-0.13,-0.1,-0.1,-0.020734964631013538,0.09192933670778525
